fromNode	toNode	weight	direction	fromAltName	toAltName
glucose	fructose	0.628496344155829	undirected	NA	NA
Soluble solids	fructose	0.624471148538925	undirected	NA	NA
Soluble solids	glucose	0.59709877959216	undirected	NA	NA
2,5-dimethyl-4-hydroxy-3(2H)-furanone	trans,trans-2,4-decadienal	0.423859812868784	undirected	NA	NA
glucose	sugar:acid	0.408780526464306	undirected	NA	NA
2-methylbutyl acetate	isobutyl acetate	0.395284948069384	undirected	NA	NA
fructose	sugar:acid	0.377239338990367	undirected	NA	NA
1-nitro-3-methylbutane	isovaleronitrile	0.359860259395423	undirected	NA	NA
heptaldehyde	isovaleronitrile	0.358348068990338	undirected	NA	NA
1-nitro-3-methylbutane	heptaldehyde	0.345641121724351	undirected	NA	NA
6-methyl-5-hepten-2-one	geranial	0.321541967903747	undirected	NA	NA
2-methyl-1-butanol	2-methyl-2-butenal	0.293073564281584	undirected	NA	NA
Soluble solids	sugar:acid	0.284241669851889	undirected	NA	NA
2-methyl-2-butenal	2-methylbutyl acetate	0.278836771432753	undirected	NA	NA
2,5-dimethyl-4-hydroxy-3(2H)-furanone	trans-2-heptenal	0.271353418264073	undirected	NA	NA
2-methyl-2-butenal	isobutyl acetate	0.250259841400445	undirected	NA	NA
2-methyl-1-butanol	2-methylbutyl acetate	0.249940980402282	undirected	NA	NA
3-methyl-1-pentanol	cis-2-penten-1-ol	0.234014366918806	undirected	NA	NA
2-methyl-1-butanol	isobutyl acetate	0.227763838791469	undirected	NA	NA
trans,trans-2,4-decadienal	trans-2-heptenal	0.197275678056881	undirected	NA	NA
2-methylbutyl acetate	propyl acetate	0.197207876229456	undirected	NA	NA
1-nitro-2-phenylethane	benzyl cyanide	0.192340486468458	undirected	NA	NA
isobutyl acetate	propyl acetate	0.191871789361826	undirected	NA	NA
isopentyl acetate	isovaleraldehyde	0.191824236485418	undirected	NA	NA
cis-3-hexen-1-ol	hexyl alcohol	0.184456084311046	undirected	NA	NA
b-cyclocitral	b-ionone	0.183820488985867	undirected	NA	NA
3-methyl-1-butanol	isopentyl acetate	0.181648342749991	undirected	NA	NA
3-methyl-1-butanol	isovaleraldehyde	0.17550818928469	undirected	NA	NA
cis-3-hexenal	hexanal	0.175078229244448	undirected	NA	NA
cis-3-hexenyl acetate	hexyl acetate	0.172890244340315	undirected	NA	NA
2-methylbutyl acetate	butyl acetate	0.165793980811584	undirected	NA	NA
2-methyl-2-butenal	propyl acetate	0.164910015570273	undirected	NA	NA
2-phenyl ethanol	phenylacetaldehyde	0.161173741477686	undirected	NA	NA
trans-2-heptenal	trans-2-pentenal	0.143980091915658	undirected	NA	NA
1-nitro-3-methylbutane	isovaleraldehyde	0.14178199250779	undirected	NA	NA
1-pentanol	2,5-dimethyl-4-hydroxy-3(2H)-furanone	0.13996638211671	undirected	NA	NA
butyl acetate	isobutyl acetate	0.136632700909739	undirected	NA	NA
trans-2-heptenal	trans-2-hexenal	0.136302349473195	undirected	NA	NA
eugenol	salicylaldehyde	0.131575526869414	undirected	NA	NA
